id,state,state_abb,state_id,county,county_id,operator,ref,name,sqft,lon,lat,type,company
1065780801,California,CA,6,Santa Clara County,85,Amazon Web Services,,Amazon,98142.0,-121.96598983231348,37.3899327218429,building,amazon
1069388067,South Carolina,SC,45,Berkeley County,15,Google,,,182645.0,-80.03831641068669,33.06202195137125,building,google
1069388075,South Carolina,SC,45,Berkeley County,15,Google,,Google,181261.0,-80.03966007767937,33.06217398793264,building,google
1069388095,South Carolina,SC,45,Berkeley County,15,Google,,Google,206252.0,-80.041154478933,33.0620532330343,building,google
1069388141,South Carolina,SC,45,Berkeley County,15,Google,,Google,181645.0,-80.03845634859405,33.064311956552835,building,google
1069388147,South Carolina,SC,45,Berkeley County,15,Google,,Google,131216.0,-80.0384282206963,33.06643643704493,building,google
1069388156,South Carolina,SC,45,Berkeley County,15,Google,,Google,249320.0,-80.0435751320087,33.06415660970066,building,google
1069388186,South Carolina,SC,45,Berkeley County,15,Google,,Google,697831.0,-80.04505685925874,33.062000589098496,building,google
1069388211,South Carolina,SC,45,Berkeley County,15,Google,,Google,145533.0,-80.04606755156347,33.06443480153904,building,google
1070895993,Georgia,GA,13,Newton County,217,Meta,,,763506.0,-83.69683907912508,33.60009367954904,building,meta
1070895994,Georgia,GA,13,Newton County,217,Meta,,,342886.0,-83.69501281261269,33.59802145151715,building,meta
1071772119,Washington,WA,53,Douglas County,17,Microsoft,,Microsoft EAT02,246129.0,-120.20768784943974,47.416868024109554,building,microsoft
1073720208,Iowa,IA,19,Pottawattamie County,155,Google,,Google,76005.0,-95.80485695055478,41.17734372844027,building,google
1073720209,Iowa,IA,19,Pottawattamie County,155,Google,,Google,318940.0,-95.80637969473156,41.17727415208592,building,google
1073720210,Iowa,IA,19,Pottawattamie County,155,Google,,Google,258223.0,-95.8032146599412,41.17745636098298,building,google
1073720211,Iowa,IA,19,Pottawattamie County,155,Google,,Google,211543.0,-95.80096717468037,41.17748290529598,building,google
1073720212,Iowa,IA,19,Pottawattamie County,155,Google,,Google,131491.0,-95.80676284722784,41.17554012114429,building,google
